algoName, instName, numOfJobs, feasible, timeLimit, timeCost,ub, lb, status, numOfVariables, numOfConstraints, nThreads
Mixed Integer Linear Programming,L_00000199,40,true, 60.0, 0.695, 1200, 1200, 2, 1681, 201, 0
Mixed Integer Linear Programming,L_00000200,50,true, 60.0, 1.707, 1593, 1593, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000201,50,true, 60.0, 1.330, 1545, 1545, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000202,50,true, 60.0, 0.709, 1276, 1276, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000203,50,true, 60.0, 1.109, 1450, 1450, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000204,50,true, 60.0, 0.642, 1505, 1505, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000205,50,true, 60.0, 1.269, 1385, 1385, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000206,50,true, 60.0, 1.894, 1606, 1606, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000207,50,true, 60.0, 1.004, 1348, 1348, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000208,50,true, 60.0, 0.755, 1219, 1219, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000209,50,true, 60.0, 0.966, 1239, 1239, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000210,50,true, 60.0, 0.900, 1501, 1501, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000211,50,true, 60.0, 1.205, 1214, 1214, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000212,50,true, 60.0, 0.680, 1389, 1389, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000213,50,true, 60.0, 1.026, 1459, 1459, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000214,50,true, 60.0, 0.874, 1367, 1367, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000215,50,true, 60.0, 2.495, 1551, 1551, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000216,50,true, 60.0, 0.833, 1299, 1299, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000217,50,true, 60.0, 0.623, 1448, 1448, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000218,50,true, 60.0, 1.165, 1552, 1552, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000219,50,true, 60.0, 0.988, 1433, 1433, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000220,50,true, 60.0, 1.033, 1492, 1492, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000221,50,true, 60.0, 1.641, 1556, 1556, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000222,50,true, 60.0, 0.995, 1368, 1368, 2, 2601, 251, 0
Mixed Integer Linear Programming,L_00000223,50,true, 60.0, 1.201, 1370, 1370, 2, 2601, 251, 0
