instName, numOfJobs, numOfThreads, timeLimit, timeCost, feasible, optimal, numOfNodes, globalUB, globalLB, gap,timeOnModel, timeOnOptimize, numOfVariables, numOfConstraints, gurobiModelStatus
L_00000193, 40, 1, 3600.0, 0.603, true, true, 13, 1224, 1224, 0.000 , 0.003, 0.600, 1681, 201, 2
L_00000194, 40, 1, 3600.0, 0.728, true, true, 36, 1170, 1170, 0.000 , 0.002, 0.726, 1681, 201, 2
L_00000195, 40, 1, 3600.0, 0.704, true, true, 10, 939, 939, 0.000 , 0.002, 0.702, 1681, 201, 2
L_00000196, 40, 1, 3600.0, 1.201, true, true, 58, 1126, 1126, 0.000 , 0.002, 1.199, 1681, 201, 2
L_00000197, 40, 1, 3600.0, 0.626, true, true, 10, 1015, 1015, 0.000 , 0.003, 0.623, 1681, 201, 2
L_00000198, 40, 1, 3600.0, 0.661, true, true, 13, 1236, 1236, 0.000 , 0.002, 0.659, 1681, 201, 2
L_00000199, 40, 1, 3600.0, 0.678, true, true, 13, 1200, 1200, 0.000 , 0.003, 0.675, 1681, 201, 2
L_00000200, 50, 1, 3600.0, 2.529, true, true, 160, 1593, 1593, 0.000 , 0.003, 2.526, 2601, 251, 2
L_00000201, 50, 1, 3600.0, 1.262, true, true, 30, 1545, 1545, 0.000 , 0.005, 1.257, 2601, 251, 2
L_00000202, 50, 1, 3600.0, 0.887, true, true, 24, 1276, 1276, 0.000 , 0.004, 0.883, 2601, 251, 2
L_00000203, 50, 1, 3600.0, 0.870, true, true, 22, 1450, 1450, 0.000 , 0.004, 0.866, 2601, 251, 2
L_00000204, 50, 1, 3600.0, 0.867, true, true, 15, 1505, 1505, 0.000 , 0.003, 0.864, 2601, 251, 2
L_00000205, 50, 1, 3600.0, 2.088, true, true, 579, 1385, 1385, 0.000 , 0.004, 2.084, 2601, 251, 2
L_00000206, 50, 1, 3600.0, 0.791, true, true, 17, 1606, 1606, 0.000 , 0.006, 0.785, 2601, 251, 2
L_00000207, 50, 1, 3600.0, 1.356, true, true, 19, 1348, 1348, 0.000 , 0.003, 1.353, 2601, 251, 2
L_00000208, 50, 1, 3600.0, 0.958, true, true, 13, 1219, 1219, 0.000 , 0.008, 0.950, 2601, 251, 2
L_00000209, 50, 1, 3600.0, 1.404, true, true, 15, 1239, 1239, 0.000 , 0.004, 1.400, 2601, 251, 2
L_00000210, 50, 1, 3600.0, 0.919, true, true, 15, 1501, 1501, 0.000 , 0.005, 0.914, 2601, 251, 2
L_00000211, 50, 1, 3600.0, 1.159, true, true, 13, 1214, 1214, 0.000 , 0.003, 1.156, 2601, 251, 2
L_00000212, 50, 1, 3600.0, 6.892, true, true, 251, 1389, 1389, 0.000 , 0.003, 6.889, 2601, 251, 2
L_00000213, 50, 1, 3600.0, 1.264, true, true, 15, 1459, 1459, 0.000 , 0.004, 1.260, 2601, 251, 2
